Selector,Traffic,Region
microsoftedge.microsoft.com/addons/detail/video-downloader-professi/okbameiopeedemhpgneephimkndciagi,34,us
microsoftedge.microsoft.com/addons/detail/youtube-video-downloader-/edlhlbdijhpceehcbjhaaijblcailbjk,73,us
microsoftedge.microsoft.com/addons/detail/fjnehcbecaggobjholekjijaaekbnlgj,3,us
microsoftedge.microsoft.com/addons/detail/gofullpage-full-page-sc/hfaciehifhdcgoolaejkoncjciicbemc,14,us
microsoftedge.microsoft.com/addons/detail/phnnpafoelnadmgjkinijkbaogoekoff,39,us
microsoftedge.microsoft.com/addons/detail/enhancer-for-youtube™/dlgfaleeejmphhnemjgiaekdbonkagkd,6,us
microsoftedge.microsoft.com/addons/detail/wappalyzer/mnbndgmknlpdjdnjfmfcdjoegcckoikn,60,us
microsoftedge.microsoft.com/addons/detail/mercury-reader/kpldbdfpngbdadafgaccakmeaoeligcl,6,us
microsoftedge.microsoft.com/addons/detail/1clickvpn-proxy-for-edge/deopfbighgnpgfmhjeccdifdmhcjckoe,24,us
microsoftedge.microsoft.com/addons/detail/downthemall/kenmkleahlilpehjignjigpdhciknmdf,20,us
microsoftedge.microsoft.com/addons/detail/dramaqu-korea-drama-photo/fncbncfnjeapnilkepdnmidjhgfbfign?hl=mi-NZ,2,us
microsoftedge.microsoft.com/addons/detail/dark-reader/ifoakfbpdcdoeenechcleahebpibofpc,19,us
microsoftedge.microsoft.com/addons/detail/yesmovies-media-watch-m/apcpjeconffgpfdpljcneogdnmiibglg?hl=mi-NZ,1,us
microsoftedge.microsoft.com/addons/detail/dbepbhhcmhodojepbagfppgpieeplpik,9,us
microsoftedge.microsoft.com/addons/detail/ojjjpnebilpphhncpddahppfbkbadjll,1,us
microsoftedge.microsoft.com/addons/detail/revert-site/monbhgbmigkifcnnjicomdmbhnhhapjb,30,us
microsoftedge.microsoft.com/addons/detail/cricfreewatch-photos-new/loflnlpgbgdfbpenbdifephoinonmaoi?hl=mi-NZ,153,us
microsoftedge.microsoft.com/addons/detail/kifmobgbglmealpjjbgegdhfhkbponcb?ref=mytab-themes.ghost.io,4,us
microsoftedge.microsoft.com/addons/detail/cagicamgdlbdmonbclkpgiabbldodgae,1,us
microsoftedge.microsoft.com/addons/detail/animepahe-at-animepaheli/phgkdhlngadomeppnfdpecknceppblgl?hl=mi-NZ,6,us
microsoftedge.microsoft.com/addons/detail/nijmngdbljgncibgjhjpnhniplbnaakp,64,us
microsoftedge.microsoft.com/addons/detail/dppgmdbiimibapkepcbdbmkaabgiofem,1,us
microsoftedge.microsoft.com/addons/detail/6streams-photos-new-tab/acdoghaepgjmhjgpdihfnnbfdhfdjlcg?hl=fa,2,us
microsoftedge.microsoft.com/addons/detail/prodigy-hacking-extension/ekoakjipfmjpmlkldiikhoigaflfkjej?hl=lb-LU,16,us
microsoftedge.microsoft.com/addons/detail/ilopbfbimhopbnabmhkafohigjoikhal,1,us
microsoftedge.microsoft.com/addons/detail/five-nights-at-freddys-u/plnlkfanohbadhjpccfhnnfpjbkcdebn?hl=de-DE,4,us
microsoftedge.microsoft.com/addons/detail/bosscast-watch-sport-ga/ifcloljjfdehdegmjjojefecdmgpiibd?hl=fa,24,us
microsoftedge.microsoft.com/addons/detail/ytmp3/mllmgmjeopjppiflfjfempiglkjicmib,29,us
microsoftedge.microsoft.com/addons/detail/alternate-player-for-twit/aojjiodaaogdbbcnbpjnojilccopgcbk,40,us
microsoftedge.microsoft.com/addons/detail/streamonsport-wallpaper-n/pehlodplpopfpfodnfflgkihmpdoefmh?hl=fa,3,us
microsoftedge.microsoft.com/addons/detail/chaknlnikaeplknmojcjkboeebjbclln,44,us
microsoftedge.microsoft.com/addons/detail/jlhgedjpndhblehblebhncfmkkpngiep,2,us
microsoftedge.microsoft.com/addons/detail/emdoaoonidndlhjhjfgiooeinkkcnfih,47,us
microsoftedge.microsoft.com/addons/detail/pibpbbbcgeakmkmhgnllkkjdgpoabdge,57,us
microsoftedge.microsoft.com/addons/detail/minfmdkpoboejckenbchpjbjjkbdebdm,48,us
microsoftedge.microsoft.com/addons/detail/ad-blocker-stands-adbloc/jccfboncbdccgbgcbhickioeailgpkgb,21,us
microsoftedge.microsoft.com/addons/detail/inmkjedjdhgpknjogbjomhnbgdccckkg?hl=de,8,us
microsoftedge.microsoft.com/addons/detail/retro-bowl-unblocked-game/bgifpgkkfpolfodjaneppgfadlflimmn,78,us
microsoftedge.microsoft.com/addons/detail/lmgkbimekjhgcoghjlncpbhfdoelonod,52,us
microsoftedge.microsoft.com/addons/detail/ruffle/pipjjbgofgieknlpefmcckdmgaaegban,9,us
microsoftedge.microsoft.com/addons/detail/aojjiodaaogdbbcnbpjnojilccopgcbk,13,us
microsoftedge.microsoft.com/addons/detail/retailmenot-deal-finder™️/fhlidomodkicgjafmppbblmgbkdcjpad?hl=et,120,us
microsoftedge.microsoft.com/addons/detail/iedehmkfppnbnjmndibfbajiidbkkdom,119,us
microsoftedge.microsoft.com/addons/detail/five-back-gift/eadaadahclmiodncembfgjiikdkblkfm?hl=sq,118,us
microsoftedge.microsoft.com/addons/detail/klkfekpaenlpkkkflaboioemamggliab,117,us
microsoftedge.microsoft.com/addons/detail/sflix-movies-hd-photo/okoahdeaglilmggkmfblmkgmeppaohjn?hl=sq,114,us
microsoftedge.microsoft.com/addons/detail/bbcinlkgjjkejfdpemiealijmmooekmp,114,us
microsoftedge.microsoft.com/addons/detail/streamonsport-wallpaper-n/pehlodplpopfpfodnfflgkihmpdoefmh?hl=mi-NZ,111,us
microsoftedge.microsoft.com/addons/detail/downloader-for-onlyfansc/kplckeccpcfcpbchoanaoikephhbnkmj,109,us
microsoftedge.microsoft.com/addons/detail/boxing-streams-wallpaper-/klmoeihfmcdfibkenbhfjplnhlmgakih?hl=mi-NZ,108,us
microsoftedge.microsoft.com/addons/detail/netflix-party-is-now-tele/igbncjcgfkfnfgbaieiimpfkobabmkce,106,us
microsoftedge.microsoft.com/addons/detail/rooftop-snipers-unblocked/fmhpfedgjmmdgbeaojgfcbgfeefiejon,105,us
microsoftedge.microsoft.com/addons/detail/ropro-enhance-your-robl/ccldjpmlknihnmejmgnpdbggebnijcme,105,us
microsoftedge.microsoft.com/addons/detail/rosearcher/oobhokhnkgaabegegleakccliicjmelh?ref=dtf.ru,104,us
microsoftedge.microsoft.com/addons/detail/aaennlfbcfpjgoogpigbamjeaegcnenh,104,us
microsoftedge.microsoft.com/addons/detail/scribe-ai-documentation/ejommccbnocgekjphflienmbmkallcef,103,us
microsoftedge.microsoft.com/addons/detail/global-speed/mjhlabbcmjflkpjknnicihkfnmbdfced,101,us
microsoftedge.microsoft.com/addons/detail/gfgiclfgacmlhijgjecadcnlibgdmdpm,101,us
microsoftedge.microsoft.com/addons/detail/video-downloader-plus/cnbnfjhmdaflilgadocmfindhmcfpfnc,101,us
microsoftedge.microsoft.com/addons/detail/free-vpn-proxy-and-ad-blo/eeebmbjgheefdiedpldnnmeaebkhhjfg,101,us
microsoftedge.microsoft.com/addons/detail/free-vpn-for-microsoft-ed/embopepfkojckgmldidcjbefilokcgmg,100,us
microsoftedge.microsoft.com/addons/detail/super-allow-copy/ijekdgpkaednghahipmbbacnabibojeh,99,us
microsoftedge.microsoft.com/addons/detail/nflbite-photo-football/ggknjpfcpdodpjnilalflhabdhklliob?hl=fa-IR&amp;gl=FR,98,us
microsoftedge.microsoft.com/addons/detail/subway-surfers-unblocked/kidflfflchdjfnodgocjanlnboeplfdg?hl=fr-fr,95,us
microsoftedge.microsoft.com/addons/detail/bccabanglicefceacekgfiknfadfnbjo,95,us
microsoftedge.microsoft.com/addons/detail/eeagobfjdenkkddmbclomhiblgggliao,94,us
microsoftedge.microsoft.com/addons/detail/jbdegnmcajkhjemebonejojlgkgcddhc,94,us
microsoftedge.microsoft.com/addons/detail/opgbiafapkbbnbnjcdomjaghbckfkglc,94,us
microsoftedge.microsoft.com/addons/detail/豆包，浏览器-ai-助手/capohkkfagimodmlpnahjoijgoocdjhd?gl=CN&hl=zh-CN,93,us
microsoftedge.microsoft.com/addons/detail/jbkfoedolllekgbhcbcoahefnbanhhlh,91,us
microsoftedge.microsoft.com/addons/detail/cfimolgmgidfdgdlhknfekakcklnhbnn,90,us
microsoftedge.microsoft.com/addons/detail/minecraft-java-bedrock/onohgkmodhjkbagmoadllmjccpcfccaf,89,us
microsoftedge.microsoft.com/addons/detail/bdcifpdhpbogkpknkehemejimecaphok,86,us
microsoftedge.microsoft.com/addons/detail/surfshark-vpn-extension-/jkhapebnlgocjncbbfccgiepjlghehmj,86,us
microsoftedge.microsoft.com/addons/detail/dashlane-password-manag/gehmmocbbkpblljhkekmfhjpfbkclbph,84,us
microsoftedge.microsoft.com/addons/detail/ropro-enhance-your-robl/ccldjpmlknihnmejmgnpdbggebnijcme?hl=en-US,81,us
microsoftedge.microsoft.com/addons/detail/pirlo-tv-wallpaper-new-ta/gfkmbljjiafgjbpheemidjhjkogpanhm?hl=ug,81,us
microsoftedge.microsoft.com/addons/detail/roblox-den-roblox-game-/lhdpoifniaclhgebificnmkjgobbfpmd,81,us
microsoftedge.microsoft.com/addons/detail/hola-free-vpn-proxy-unblo/eibinhpjpbkmjeohlclnebmkhdfehpbf,81,us
microsoftedge.microsoft.com/addons/detail/jdpiggacibaaecfbegkhakcmgaafjajn,80,us
microsoftedge.microsoft.com/addons/detail/stream-cleaner/kmjdlhckppaahfaodneflgfjfkcealkl?hl=quz-PE,80,us
microsoftedge.microsoft.com/addons/detail/edddnehihapekckcmmjhhaonhddekdah,80,us
microsoftedge.microsoft.com/addons/detail/slope-unblocked-game/ndcokkmfmiaecmndbpohaogmpmchfpkk?hl=lb-LU,77,us
microsoftedge.microsoft.com/addons/detail/bulk-url-opener/mpjfcajhimficijljekkichephgaebcn,76,us
microsoftedge.microsoft.com/addons/detail/soccer-brazil-vebo-tv/ghkhpplmhkaompepnlhmaeompglenppi?hl=sq-AL,76,us
microsoftedge.microsoft.com/addons/detail/wa-web-plus-for-whatsapp™/ecfofchalmmligkogkijgdhaclchhped?hl=sv-SE&gl=SE,76,us
microsoftedge.microsoft.com/addons/detail/betterttv/icllegkipkooaicfmdfaloehobmglglb,75,us
microsoftedge.microsoft.com/addons/detail/flash-player-2022/fgenmmklgkdemhpgdppmldmkemplbcko,75,us
microsoftedge.microsoft.com/addons/detail/leekafaoicfkmodalhhhgbifmmkffjib,74,us
microsoftedge.microsoft.com/addons/detail/ocglkepbibnalbgmbachknglpdipeoio,74,us
microsoftedge.microsoft.com/addons/detail/pflenohdaoonjhkhonobmaklaogfhhgh,73,us
microsoftedge.microsoft.com/addons/detail/cookieeditor/neaplmfkghagebokkhpjpoebhdledlfi,73,us
microsoftedge.microsoft.com/addons/detail/tunnelbear-vpn/ogemdakneofkpppkcfkgmbiopdpioipj,73,us
microsoftedge.microsoft.com/addons/detail/aix智能下载器图片视频音乐文档/pljfekbkmmbkdfhddpebdlmfngigcohc?hl=zh-CN,72,us
microsoftedge.microsoft.com/addons/detail/saml-wsfederation-and-o/boffpaecgbbojpkboijhbmhecoefdehi,72,us
microsoftedge.microsoft.com/addons/detail/pnfonnnmfjnpfgagnklfaccicnnjcdkm,72,us
microsoftedge.microsoft.com/addons/detail/twitter-auto-refresh-expe/gfnjdiahfgfeniijpcbjldckaihchbgb,72,us
microsoftedge.microsoft.com/addons/detail/ghostery-tracker-ad-blo/fclbdkbhjlgkbpfldjodgjncejkkjcme,71,us
microsoftedge.microsoft.com/addons/detail/sweezy-cursors-custom-c/mkfhpcgekfegendoikpbobhefdmgbaoi,70,us
microsoftedge.microsoft.com/addons/detail/ipckdieaipaionpgmjhclgjajgbbfnpp,69,us
microsoftedge.microsoft.com/addons/detail/iedlldhgenjgalcedekdkdjdalodkohb,69,us
microsoftedge.microsoft.com/addons/detail/online-pdf-editor-pdf2go/chnkimkmeimobjodllnkpbjchdbinjla,69,us
microsoftedge.microsoft.com/addons/detail/火山翻译-划词和网页翻译/jmnhemdajboodicneejdlpanmijclhef,68,us
microsoftedge.microsoft.com/addons/detail/keepa-amazon-price-trac/ejefaeioamebhekmfaclajddbpnnobje,68,us
microsoftedge.microsoft.com/addons/detail/take-webpage-screenshots-/fcbmiimfkmkkkffjlopcpdlgclncnknm,68,us
microsoftedge.microsoft.com/addons/detail/viprow-alternative-sport-/jpmpobflimhjjmclblklaeiejnpgjpog?hl=sq,67,us
microsoftedge.microsoft.com/addons/detail/cagamahedanknpehgjkdfifjpdhlcbmn,67,us
microsoftedge.microsoft.com/addons/detail/adblocker-ultimate/pciakllldcajllepkbbihkmfkikheffb,66,us
microsoftedge.microsoft.com/addons/detail/mhmlkckkafjpdbeggdhcicfediihdmck,66,us
microsoftedge.microsoft.com/addons/detail/idghocbbahafpfhjnfhpbfbmpegphmmp?hl=zh-CN&gl=CN,66,us
microsoftedge.microsoft.com/addons/detail/capital-one-shopping-sav/kiiaghlmeikbpmeabhilfphikfcefljn?hl=en-US,66,us
microsoftedge.microsoft.com/addons/detail/gnkphpokcgdifebpjjcoklinmglfilmj,66,us
microsoftedge.microsoft.com/addons/detail/沉浸式翻译/amkbmndfnliijdhojkpoglbnaaahippg?form=MT001Y&hl=zh-CN&gl=CN,65,us
microsoftedge.microsoft.com/addons/detail/knlkkglpciabiccdonaeofkdjopaimom,65,us
microsoftedge.microsoft.com/addons/detail/zeroomegaproxy-switchy-/dmaldhchmoafliphkijbfhaomcgglmgd,65,us
microsoftedge.microsoft.com/addons/detail/kjckcdeibmofenombolgagjcgmaehgmk,64,us
microsoftedge.microsoft.com/addons/detail/prodigy-hacking-extension/ekoakjipfmjpmlkldiikhoigaflfkjej?hl=vi,64,us
microsoftedge.microsoft.com/addons/detail/image-downloader-save-p/bjfgbbpljjghihljamodkhafdfaajbbp,63,us
microsoftedge.microsoft.com/addons/detail/mega/jemjknhgpjaacbghpdhgchbgccbpkkgf,63,us
microsoftedge.microsoft.com/addons/detail/fgggaiedigajhlidjmmmengcpoipjeko,62,us
microsoftedge.microsoft.com/addons/detail/nordvpn-–-fast-vpn-for-pr/fphgeikpdcdcheaochkhldmnfblfogla,62,us
microsoftedge.microsoft.com/addons/detail/bcddffjoadbecbgekhbeplonhplgpefk,61,us
microsoftedge.microsoft.com/addons/detail/btroblox-upgrade-your-r/ckogghblofinaelanoemndnfnghogfbl,61,us
microsoftedge.microsoft.com/addons/detail/watchseries-movies-and-tv/lbefmbgncjckaammhmkoklmgdfhealjb?hl=de-de,61,us
microsoftedge.microsoft.com/addons/detail/fhibbcgoakcednikicngfgjlgkmbgmae,60,us
microsoftedge.microsoft.com/addons/detail/ice-dodo-unoffical-extra/nhlciiblolhnejbijfklfjebmmkjjcne,59,us
microsoftedge.microsoft.com/addons/detail/windscribe-free-proxy-a/dkkdbpgldnmkhcliffjpajcfdjkcaddf,59,us
microsoftedge.microsoft.com/addons/detail/exporter-for-followers/jhkmlmfcdlmgfbdfhjfpjoopbpjbeghj,58,us
microsoftedge.microsoft.com/addons/detail/ijgjhlfeehehjgionndhjjfckmobedee,58,us
microsoftedge.microsoft.com/addons/detail/lkiciedmpekoekbjbnppefbddhnphonf,57,us
microsoftedge.microsoft.com/addons/detail/beyond-20/pdjnkppffhaiimjopdpdkdaddgcmnbpp?hl=en-US,57,us
microsoftedge.microsoft.com/addons/detail/universal-bypass/ckiidekccfgninkobmmofopbbdgdclgg,57,us
microsoftedge.microsoft.com/addons/detail/lcifkpihfgfaaioaejmemeaphggkhpgn,57,us
microsoftedge.microsoft.com/addons/detail/aha-music-music-identif/ejfccgmelcclnoadalcepdmnpgcnglfc,57,us
microsoftedge.microsoft.com/addons/detail/pelisplus-peliculas-y-s/gnkphpokcgdifebpjjcoklinmglfilmj?hl=mi-NZ,57,us
microsoftedge.microsoft.com/addons/detail/udemy-downloader/nalkmdneafbahjimajlhkjnlkdgemnpl,56,us
microsoftedge.microsoft.com/addons/detail/refined-microsoft-teams/nflhmboooogjefbpjaoaflcojmfmbkcg,56,us
microsoftedge.microsoft.com/addons/detail/sap-gui-connector-for-mic/mhpigfckgphoiifbehgajfbkocihbaho,56,us
microsoftedge.microsoft.com/addons/detail/tunnel-rush-unblocked-gam/neppffbackhnaaakdihlbnlpjbhdpdgc?hl=ja,55,us
microsoftedge.microsoft.com/addons/detail/transpose-▲▼-pitch-▹-spee/nakcigkhphkecnebinpgpdpbjfjgilkl/,55,us
microsoftedge.microsoft.com/addons/detail/web-scraper-free-web-sc/jfmdjnnfminejadhegajcjbpgjofnkaj,54,us
microsoftedge.microsoft.com/addons/detail/ublock-origin/odfafepnkmbhccpbejgmiehpchacaeak?hl=de,115,de
microsoftedge.microsoft.com/addons/detail/ublock-origin/odfafepnkmbhccpbejgmiehpchacaeak,198,de
microsoftedge.microsoft.com/addons/detail/adblock-plus-kostenlose/gmgoamodcdcjnbaobigkjelfplakmdhh?hl=de-DE,10,de
