Selector,Traffic,Region
marketplace.visualstudio.com/items?itemName=MadsKristensen.ImageOptimizer,5,us
marketplace.visualstudio.com/items?itemName=ms-toolsai.jupyter-hub,7,us
marketplace.visualstudio.com/items?itemName=enkia.tokyo-night,3,us
marketplace.visualstudio.com/items?itemName=MadsKristensen.RainbowBraces,302,us
marketplace.visualstudio.com/items?itemName=streetsidesoftware.code-spell-checker-spanish,87,us
marketplace.visualstudio.com/items?itemName=PKief.markdown-checkbox,121,us
marketplace.visualstudio.com/items?itemName=SSIS.SqlServerIntegrationServicesProjects,120,us
marketplace.visualstudio.com/items?itemName=4006wayne.wconvert,119,us
marketplace.visualstudio.com/items?itemName=ms-vscode.cpptools-extension-pack,119,us
marketplace.visualstudio.com/items?itemName=mechatroner.rainbow-csv,119,us
marketplace.visualstudio.com/items?itemName=ms-dotnettools.upgradeassistant,118,us
marketplace.visualstudio.com/items?itemName=DevartSoftware.CodeCompare,117,us
marketplace.visualstudio.com/items?itemName=ms-vscode.js-debug,117,us
marketplace.visualstudio.com/items?itemName=adpyke.codesnap,116,us
marketplace.visualstudio.com/items?itemName=saoudrizwan.claude-dev,116,us
marketplace.visualstudio.com/items?itemName=sdras.night-owl,113,us
marketplace.visualstudio.com/items?itemName=GitHub.copilot-workspace,112,us
marketplace.visualstudio.com/items?itemName=donjayamanne.githistory,110,us
marketplace.visualstudio.com/items?itemName=piotrpalarz.vscode-gitignore-generator,109,us
marketplace.visualstudio.com/items?itemName=zhuangtongfa.Material-theme,105,us
marketplace.visualstudio.com/items?itemName=Arm.cmsis-csolution,104,us
marketplace.visualstudio.com/items?itemName=mtxr.sqltools,104,us
marketplace.visualstudio.com/items?itemName=fumifumi0831.svg-to-png-converter,104,us
marketplace.visualstudio.com/items?itemName=fabiospampinato.vscode-open-in-application,104,us
marketplace.visualstudio.com/items?itemName=aeschli.vscode-css-formatter,103,us
marketplace.visualstudio.com/items?itemName=SharpDevelopTeam.ILSpy,102,us
marketplace.visualstudio.com/items?itemName=tomoyukim.vscode-mermaid-editor,102,us
marketplace.visualstudio.com/items?itemName=mhutchie.git-graph,99,us
marketplace.visualstudio.com/items?itemName=nguyenngoclong.asdf,98,us
